part_num,part_name
15-697867,SRX Magnetic Encoder
AM-0546,SB50 APP Connector with Contacts
AM-3071,
94669A311,"Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size"
Hex Shaft 1,
Hex Shaft 2,
Hex Shaft 3,
Hex Shaft 4,
Hex Shaft 5,
Dog Gear drive,"modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)"
Dog Gear winch,"modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)"
hex with modified shaft for dog gear shiftage,modified 217-3423-003 rev 1 from PTO add on kit
92510A609,
94669A128,"Aluminum Unthreaded Spacer, 8 mm OD, 30 mm Long, for M3 Screw Size"
94669A319,
217-6515,Falcon 500
217-3875,"0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)"
217-3351,Bag Motor
217-4006,"Bearing, Flanged, 13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD"
217-5046,Versa Planetary Integrated Encoder
217-6919,"12T Steel Spur Gear (20 DP, Falcon Motor)"
217-4858,
REV-21-1651,Neo 550 Brushless motor
WCP-0176,"38t Steel Spur Gear (20 DP, 1/2"" Hex Bore)"
WCP-0185,"56t Pocketed Steel Spur Gear (20 DP, 1/2"" Hex Bore) (WCP-0185)"
AVT-PP-35,Polypropylene Air Volume Tank
ES17-12,
6075K15,"Flat Belting 1"" Wide"
5234K94,
91864A028,"Black-Oxide Alloy Steel Socket Head Screw
4-40 Thread Size, 9/16"" Long"
92510A434,"Aluminum Unthreaded Spacer
3/8"" OD, 2-1/4"" Long, for Number 10 Screw Size"
90044A263,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 7"" Long"
91251A078,"Black-Oxide Alloy Steel Socket Head Screw
4-40 Thread Size, 1-1/4"" Long"
97447A130,"Aluminum Blind Rivets with Aluminum Mandrel Domed Head, 
1/8"" Diameter, for 0.313""- 0.375"" Material Thicknes. Pack of 250"
1691T73,"Impact-Resistant Compact Tie Rod Air Cylinder
Round Face, Double Acting, 1/2"" Bore, 1/2"" Stroke Length"
91251A907,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 6"" Long"
92510A650,"Aluminum Unthreaded Spacer
3/8"" OD, 1-1/4"" Long, for Number 10 Screw Size"
93330A473,"Female Threaded Round Standoff, Aluminum, 1/4"" OD, 2"" Long, 6-32 Thread Size"
98075A143,"Rivet Studs 1/4""-20 Thread, for 0.027""-0.165"" Material Thickness"
90480A195,10-32 Nut
91259A103,
474487,
474489,
6C200R25AP,
474491,
490 633,
B84CM,
91251A199,"Black-Oxide Alloy Steel Socket Head Screw
8-32 Thread Size, 1"" Long"
91251A155,"Black-Oxide Alloy Steel Socket Head Screw
6-32 Thread Size, 1-1/4"" Long, Partially Threaded"
T395993,
T390895,
T395353,
T397941,
T395443,
91251A287,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 1-5/8"" Long"
91251A337,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 5/16"" Long"
217-3496,
90631A007,"Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 6-32 Thread Size"
217-6706,
91259A544,"Alloy Steel Shoulder Screw, 1/4"" Shoulder Diameter, 1-1/4"" Shoulder Length, 10-24 Thread"
33785T45,Square shape threaded connecting link
3961T2,"Long-Lasting Polyurethane Cord 1/4"" Diameter"
97431A330,
90630A110,"High-Strength Steel Nylon-Insert Locknut, Grade 8, 1/4""-20 Thread Size"
91251A342,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 1/2"" Long"
91290A306,"Black-Oxide Alloy Steel Socket Head Screw, M4 x 0.7 mm Thread, 15 mm Long"
90298A632,"18-8 Stainless Steel Shoulder Screw
3/8"" Shoulder Diameter, 2"" Shoulder Length, 5/16""-18 Thread"
91251A148,"Black-Oxide Alloy Steel Socket Head Screw 6-32 Thread Size, 1/2"" Long"
91251A150,"Black-Oxide Alloy Steel Socket Head Screw, 6-32 Thread Size, 5/8"" Long"
91251A360,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 3"" Long, Partially Threaded"
94105A828,"Alloy Steel Flat-Tip Set Screws Black Oxide, 10-32 Thread, 1/2"" Long"
91253A006,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw
10-32 Thread Size, 5/8"" Long"
91253A003,"Alloy Steel Flathead socket cap screw. 1/2"" long"
91251A338,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 1/4"" Long"
91251A353,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 2"" Long, Partially Threaded"
6498K636,"Round Body Air Cylinder, Double-Acting, Universal Mount, 3/4"" Bore Size, 4"" Stroke"
2297T15,"0.78"" Diameter Abrasion-Resistant Conveyor Roller
for 8"" Between Frame Width"
91253A269,Alloy steel socket cap screw 10-32. 5 pack
92511A012,"Aluminum Unthreaded Spacer
3/8"" OD, 1-3/16"" Long, for Number 10 Screw Size"
91125A037,"Female Threaded Round Standoff, 18-8 Stainless Steel, 1/4"" OD, 3"" Long, 10-32 Thread Size"
92511A032,"Aluminum Unthreaded Spacer
3/8"" OD, 2"" Long, for Number 10 Screw Size"
92510A649,"Aluminum Unthreaded Spacer
3/8"" OD, 1"" Long, for Number 10 Screw Size"
92510A647,"brake plate standoff 3/4"" 3/8"" OD close fit 10-32"
91259A581,"Alloy Steel Shoulder Screw, 5/16"" Shoulder Diameter, 3/4"" Shoulder Length, 1/4""-20 Thread"
90631A005,"Low-Strength Steel Nylon-Insert Locknut Zinc-Plated, 4-40 Thread Size"
6130K33,"Ultra-Precision Ball Joint Rod End, 1/4""-28 Internal Thread"
91286A123,
9271K182,"Torsion Spring 180 Degree Left-Hand Wound, 0.404"" OD"
9271K181,"Torsion Spring 180 Degree Right-Hand Wound, 0.404"" OD"
92012A546,"Alloy Steel Precision Shoulder Screw, 1/4"" Shoulder Diameter, 1-1/2"" Shoulder Length, 10-32 Thread"
91259A628,"Alloy Steel Shoulder Screw, 3/8"" Shoulder Diameter, 1-1/2"" Shoulder Length, 5/16""-18 Thread"
91255A192,"Button Head Hex Drive Screw Black-Oxide Alloy Steel, 8-32 Thread, 3/8"" Long"
91255A269,"Button Head Hex Drive Screw
Black-Oxide Alloy Steel, 10-32 Thread, 3/4"" Long"
91251A344,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 5/8"" Long"
91251A349,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 1-1/4"" Long"
91251A356,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 9/16"" Long"
90044A523,10-32 2 1/4 in screw
91286A113,"High-Strength Grade 8 Steel Hex Head Screw, Zinc-Aluminum Coated, 1/4""-20 Thread Size, 1-1/4"" Long"
91251A108,"Black-Oxide Alloy Steel Socket Head Screw
4-40 Thread Size, 3/8"" Long"
95505A601,"Medium-Strength Steel Hex Nut, Grade 5, 1/4""-20 Thread Size"
91251A345,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 3/4"" Long"
91251A354,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 2-1/4"" Long, Partially Threaded"
91251A359,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size, 2-3/4"" Long, Partially Threaded"
97526A130,"Domed Head Blind Rivets 1/8"" Diameter, for 0.188""-0.25"" Material Thickness. 250 pack"
E18-D80NK,
BRG-0001,Swyft Bearing
am-3480,"4in Compliant Wheels 60A Durometer (Black) 1/2"" Hex"
2020-1073-006-100,FLYWHEEL TUBE
2020-1073-006-106,WHEEL RETAINING RING
93330A463,
91125A044,
"hex 1.252"" length",
"hex .754"" length",
"hex .790"" length",
"hex 1.10"" length",
"hex .0857"" length",
"hex 1.91"" length",
"hex .634"" length",
R3-ZZ PRX,"R3-ZZ PRX bearing, miniture ball"
R4A-ZZ-PRX,
474489,R4-ZZ bearing
474485,R2-ZZ bearing
93330A542,
2020-1073-005-001,
COM-13716,Sparkfun FemtoBuck LED Driver
SEN-15325,Open MV Camera
2020-1073-005-073,
2020-1073-005-094,
2020-1073-005-033,
2020-1073-005-069,
2020-1073-005-057,
19-676768,CTR Cancoder
217-4973,
2020-1073-005-072,
2020-1073-005-055,
2020-1073-005-002,
2020-1073-005-018,
2020-1073-005-015- Plate,Plate Weld Mount
217-2702,"20T Aluminum Spur Gear (20 DP, 1/2"" Hex Bore)"
217-2708,"40T Aluminum Spur Gear (20 DP, 1/2"" Hex Bore)"
217-2710,"44T Aluminum Spur Gear (20DP, 1/2"" Hex Bore)"
217-5475,"58T Aluminum Spur Gear (20 DP, 1/2"" Hex Bore)"
217-2642,"16T Aluminum Hub Sprocket (#25 Chain, 1/2"" Hex Bore)"
217-6368,"8T Steel Spur Gear (20 DP, 10T Center Distance, BAG Motor)"
217-2648,"42T Sprocket plate (#35 Chain, 1/2"" Hex Bore)"
217-5844,"15T Sprocket hub (#35 Chain, 1/2"" Hex Bore)"
217-3211,"34T Gear (3/8"" Hex Bore)"
217-2706,"34T Gear (1/2"" Hex Bore)"
217-3212,"34T Gear, Ball shifter w/ bushing"
217-3417,"40T dog gear, 1/2"" bearing"
217-5866,"40T Steel Spur Gear (32 DP, 3/8"" Hex Bore)"
217-5859,"12T Steel Spur Gear (32 DP, RS775 Motor)"
217-6958,Falcon Motor Short Shaft
217-5994,
217-2733,"0.375"" ID x 0.875"" OD x 0.280"" WD (Flanged Bearing)"
217-3239,"0.375"" ID x 0.875"" OD x 0.281"" WD (Radial Bearing)"
217-5861,"20T Steel Spur Gear (32 DP, 3/8"" Hex Bore)"
217-3229,"30T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm, 1/2” Hex Bore)
"
217-3227,24t 9mm 1/2 in hex pulley
217-3225,"18T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm, 1/2” Hex Bore)"
217-2820,10:01
217-2816,Versa Gearbox Ring Gear Stage
217-6473,Versaplanetary v2 Base Kit 1:1 Universal Female Output Shaft
217-3436,WCP Side Bearing Block Kit
217-2731,"0.500"" ID x 1.125"" OD x 0.313"" WD (Flanged Bearing) FR8ZZ"
CON-0002,
CON-0003,
CON-0005,
CON-0006,
CON-0007,
CON-0008,
CON-0009,
JCB-0004,
JCB-0002,PCM JST Board
PQ-PG08,
REV-11-2158,Spark Max
am-3155,2 in stealth wheels
2020-1073-005-006-Hex Stonks,
2020-1073-005-056-Hex Stonks2,
IFB-10010,
17-846567,
855PB-B12ME522,
am-3082_wire,
14-886867,
am-3162,
16-737785,Pigeon IMU
217-3489,"0.250"" ID x 0.500"" OD x 0.188"" WD (Radial Bearing)"
217-4002,"Hex, 1/2"" Thunderhex stock 18 inches"
217-5875,"24T x 9mm Wide Double Flange Aluminum Pulley (GT2 3mm, 1/2"" Hex Bore)"
217-5885,70T X 9nn Wide Timing Belt GT2 3mm
217-6626,"1/32"" Gray Tinted Polycarbonate Sheet (36"" x 72"")"
217-6627,"1/16"" Gray Tinted Polycarbonate Sheet (36"" x 72"")"
1691T143,"Impact-Resistant Compact Tie Rod Air Cylinder
Round Face, Double Acting, 1-1/16"" Bore, 3/8"" Stroke"
3014T450,"Steel Eyebolt with Shoulder - for Lifting
1/4""-20 Thread Size, 1"" Thread Length"
3014T902,"Steel Eyebolt with Shoulder - for Lifting 1/4""-20 Thread Size, 3"" Thread Length"
3499T110_SS,"Hanging Pulley for Rope-for Horizontal Pulling Single-Groove, Swivel Eye, for 1/4"" Diameter Rope"
5234K61,"Super-Soft Latex Rubber Tubing for Air and Water
1"" ID, 1-1/4"" OD"
57155K321,"Stainless Steel Ball Bearing, Flanged, Shielded, Trade Number R3-2Z"
5972K159,"Ball Bearing, Shielded, Trade No. 6806-2Z, for 30 mm Shaft Diameter"
60355K41,"Ball Bearing, Shielded, Trade Number R2-2Z, for 1/8"" Shaft Diameter"
60645K321,"Ball Joint Rod End, 1/4""-28 Thread, Right Hand"
8585K205,"1-1/4"""" OD, 1-1/8"""" ID, Clear, 8' Long Impact-Resistant Polycarbonate Round Tube"
90295A320,Nylon Washers
91251A077,"Black-Oxide Alloy Steel Socket Head Screw, 2-56 Thread Size, 1/4"" Long"
912841A003,
93330A613,"Female Threaded Round Standoff
Aluminum, 3/8"" OD, 3/4"" Long, 10-32 Thread Size"
97345A251,"316 Stainless Steel Shoulder Screw 3/8"" Shoulder Diameter, 2"" Shoulder Length, 1/4""-20 Thread"
98381A556,"Dowel Pin 4037 Alloy Steel, 1/4"" Diameter, 1-1/8"" Long"
90631A411,"Low-Strength Steel Nylon-Insert Locknut, Zinc-Plated, 10-32 Thread Size"
am-1250,"screws for hex hub for 6"" wheel"
am-2469h,"half hub for 6"" wheel"
am-4124,hex hub insert
91841A003,
PBN18200-1,"Brad nails to hold mecanum rollers on wheel
2 in. x 18-Gauge Brad Nail (1000 per Box)"
WCP-0047,wheel tires
FDPT.625*.75*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 0.625"" ID x 24"", Gloss Finish"
FDPT.875*1.0*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 0.875"" ID x 24"", Gloss Finish"
FDPT1.125*1.25*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 1.125"" ID x 24"", Gloss Finish"
FDPT1.375*1.5*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 1.375"" ID x 24"", Gloss Finish"
B076PG87CK,Piscifun Onyx Braided Fishing Line 6lb-150lb Superline Abrasion Resistant Braided Lines Super Strong High Performance PE Fishing Lines
COM-13185,Green LED
855PBB12ME522,Robot Signal Light
AM-0282,120a Circuit Breaker
AM-2005,Pneumatic Compressor
91223A322,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw, 8-32 Thread Size, 5/8"" Long
"
31-LHS-8C-50,"Ultra-Low-Profile Socket Head Screw, 8-32 Thread Size, 1/2"" Long
"
PRU14,"NITRA pneumatic push-to-connect inline pressure regulator, technopolymer body, 1/4in tube inlet(s), 1/4in tube outlet(s), 15-120 psi adjustable range."
PGU14,"NITRA pneumatic push-to-connect inline pressure gauge, technopolymer body, 1/4in tube inlet(s), 1/4in tube outlet(s), 0-170 psi range."
USB Camera,"USB Camera Module Full HD 1080P Mini Webcam USB with Cameras with Sony IMX291 Image Sensor,USB3.0 Web Camera Low Illumination Camera Board with 100 Degree No Distortion Lens for Android Linux Windows"
7361A12,"Electrical-Insulating Mounting Tape
Kapton® Polyimide Plastic, 1/4"" x 15', 0.0056"" Thick"
7483K39,"No-Snag Cable Ties
Wide, 14-1/2"" Long, Black"
97431A340,"Side-Mount External Retaining Rings for 1/2"" OD, Black-Phosphate 1060-1090 Spring Steel"
92620A537,"Zinc Yellow-Chromate Plated Hex Head Screw, Grade 8 Steel, 1/4""-20 Thread Size, 1/2"" Long
"
90630A115,"High-Strength Steel Nylon-Insert Locknut, Grade 8, 5/16""-18 Thread Size"
1679K484,"Dust-Free Timing Belt
T5 Series, Trade No. T5-400-10"
91831A002,"18-8 Stainless Steel Nylon-Insert Locknut, 2-56 Thread Size"
90298A630,"18-8 Stainless Steel Shoulder Screw, 3/8"" Shoulder Diameter, 1-3/4"" Shoulder Length, 5/16""-18 Thread"
2342K163,"Permanently Lubricated Ball Bearing, Open, Trade Number R4, for 1/4"" Shaft Diameter"
2342K164,"Permanently Lubricated Ball Bearing, Open, Trade Number R4A, for 1/4"" Shaft Diameter"
6435K12,"Clamping Shaft Collar for 1/4"" Diameter, Black-Oxide 1215 Carbon Steel"
90044A118,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 1-1/2"" Long, Fully Threaded
"
91831A411,"18-8 Stainless Steel Nylon-Insert Locknut, 10-32 Thread Size
"
92196A179,"18-8 Stainless Steel Socket Head Screw, 8-32 Thread Size, 1-3/4"" Long, Fully Threaded"
25,
90044A119,"Black-Oxide Alloy Steel Socket Head Screw, 10-32 Thread Size, 1-3/4"" Long, Fully Threaded"
92949A837,"18-8 Stainless Steel Button Head Hex Drive Screw, 1/4""-20 Thread Size, 1-5/8"" Long"
91831A009,"18-8 Stainless Steel Nylon-Insert Locknut, 8-32 Thread Size"
91251A079,"Black-Oxide Alloy Steel Socket Head Screw, 2-56 Thread Size, 3/8"" Long"
9271K677,"Torsion Spring, 180 Degree Right-Hand Wound, 0.556"" OD"
9271K612,"Torsion Spring, 180 Degree Left-Hand Wound, 0.556"" OD"
276-4858,VEX Bumper Switch
217-2952,SMC SS5Y3-41-04-N7T 4 Station Base Mount
217-3636,PTO add-on kit. Power take off. WCP
217-3635,"Output shaft, standard WCP"
217-2737,"Clamping Shaft Collar - 1/2"" Hex ID
"
217-5881,45T x 9mm Wide Timing Belt (GT2 3mm)
3,
1128930,"Screw, machine pan philip 8-32 x 3"
2621,Hex Lock nut w/ nylon insert. Size 8-32. Nylock
1-THN-8C,Thin nylon insert nuts 8-32
ee0zzm3,bearing. koyo. jtekt
217-2592,"Versa hub. 1/2"" hex"
217-2584,"Wheel, omni. 4"""
217-4046,"Wheel, colson. 2.5"" x 1.25"" x .5"" hex bore"
am-3480,"wheel, 4"" compliant, 1/2"" hex, blue, 50 dur"
AM-3155,"wheel, 2"", 1/2"" hex black stealth, 50 dur"
AM-3949,"wheel, 2.25"" compliant, 1/2"" hex, orange 40 dur"
am-3951,"wheel, 2"", 1/2"" hex green omni"
am-3953,"wheel, 2"", 1/2"" hex gray omni"
217-6439,"chain, #25h roller 10ft"
CHN-0005,"chain, #25h, half-link , 5 pack"
CHN-0005,"chain, #25h, master-link , 5 pack"
217-6477,"chain, #25h, master-link , 5 pack"
WCP-0200,"Friction Brake (3/8"" & 1/2"" Hex)"
,Tank mount
,"Carabiner, 2"" x 1/5"". screw closure"
63-620,End Mill - 0250x0.375x0.250x2.000 - 1
63-614,End Mill - 0.187x0.375x0.250x2.000-1
63-604,End Mill - 0.125x0.250x0.125x1.500-1
63-625,End Mill - 0.375x0.750x0.375x3.000-1
X003MYLHKP,"1/2inch Shank 2inch Cutting Diameter, slab flattening Router Bit Planing Bit Wood Milling Cutter Planer Woodworking Tool"
TC64708,1/8 SE 2FL RAD-0.010 ZRN
TC62408,3/8 SE 2FL STUB - ALUM RAD-0.0020 ZRN
TC62400,1/8 SE 2FL STUB -ALUM RD-0.010 ZRN
TC64716,1/4 SE 2FL RAD-0.020 ZRN
CRP-ARF-2-8ZN,"1/4in Ball End Mill 2 Flute DIA=1/4in FL=3/4 OAL=2-1/2"" SHK=1/4"""
CRP-AG-2-8ZN,"1/4in Square End Mill 2 Flue DIA=1/4"" FL=3/4"" OAL=2-1/2"" SHK = 1/4"""
TC62410,1/2 SE 2FL STUB - ALUM RAD-0.040ZRN
49J744,Cylin 1-1/16in Bore 1in Stroke
217-3573,"54T Aluminum Spur Gear (20 DP, 1/2"" Hex Bore)"
1691T142,"Impact-Resistant Compact Tie Rod Air Cylinder, Round Face, Double Acting, 1-1/16"" Bore, 1/4"" Stroke"
217-4347,775pro
217-6789,VersaPlanetary Coupler(Flacon Motor)
214-6959,
