Responsible Party,part_number,part_name,qty,Something,unit,QTY Per Unit,QTY per ASSY,Price Per Unit,Price Per Piece,Total PO Price,Website Link,Ordered?,PO#,Arrived?,QTY Multiplier,Comments,Multiplier,2,2,1,2,2,2,2,2,2
,217-2648,"42T Sprocket plate (#35 Chain  1/2"" Hex Bore)",4,,,,,,,,,,,,,,,,,,,,,,,
,217-5844,"15T Sprocket hub (#35 Chain  1/2"" Hex Bore)",1,,,,,,,,,,,,,,,,,,,,,,,
,217-3211,"34T Gear (3/8"" Hex Bore)",1,,,,,,,,,,,,,,,,,,,,,,,
,217-2706,"34T Gear (1/2"" Hex Bore)",2,,,,,,,,,,,,,,,,,,,,,,,
,217-3212,34T Gear  Ball shifter w/ bushing,2,,,,,,,,,,,,,,,,,,,,,,,
,217-3417,"40T dog gear  1/2"" bearing",4,,,,,,,,,,,,,,,,,,,,,,,
,217-5866,"40T Steel Spur Gear (32 DP  3/8"" Hex Bore)",0,,,,,$11.99 ,,,,,,,,,,,,,,,,,,
,217-5859,12T Steel Spur Gear (32 DP  RS775 Motor),0,,,,,$6.99 ,,,,,,,,,,,,,,,,,,
,217-6958,Falcon Motor Short Shaft,6,,,,,$12.99 ,,,,,,,,,,,,,,,,,,
,217-5994,,0,,,,,,,,,,,,,,,,,,,,,,,
,217-2733,"0.375"" ID x 0.875"" OD x 0.280"" WD (Flanged Bearing)",2,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,217-3239,"0.375"" ID x 0.875"" OD x 0.281"" WD (Radial Bearing)",0,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,217-5861,"20T Steel Spur Gear (32 DP  3/8"" Hex Bore)",0,,,,,$10.99 ,,,,,,,,,,,,,,,,,,
,217-3229,"30T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm  1/2” Hex Bore)
",2,,,,,$15.99 ,$15.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-3227,24t 9mm 1/2 in hex pulley,0,,,,,$12.99 ,$12.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-3225,18T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm  1/2” Hex Bore),0,,,,,$12.99 ,$12.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-2820,10:01,0,,,,,$14.99 ,$14.99 ,,https://www.vexrobotics.com/versaplanetary.html,,,,,,,,,,,,,,,
,217-2816,Versa Gearbox Ring Gear Stage,0,,,,,$9.99 ,$9.99 ,,,,,,,,,,,,,,,,,
,217-6473,Versaplanetary v2 Base Kit 1:1 Universal Female Output Shaft,0,,,,,$44.99 ,$44.99 ,,https://www.vexrobotics.com/versaplanetary.html,,,,,,,,,,,,,,,
,217-3436,WCP Side Bearing Block Kit,0,Needing Reinv,,,,$24.99 ,,,,,,,,,,,,,,,,,,
,217-2731,"0.500"" ID x 1.125"" OD x 0.313"" WD (Flanged Bearing) FR8ZZ",59,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,CON-0002,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0003,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0005,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0006,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0007,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0008,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0009,,0,,,,,,,,,,,,,,,,,,,,,,,
,JCB-0004,,0,,,,,,,,,,,,,,,,,,,,,,,
,JCB-0002,PCM JST Board,0,,,,,$24.99 ,,,,,,,,,,,,,,,,,,
,PQ-PG08,,0,,,,,,,,,,,,,,,,,,,,,,,
,REV-11-2158,Spark Max,0,,,,,$75.00 ,,,,,,,,,,,,,,,,,,
,am-3155,2 in stealth wheels,0,,,,,$6.00 ,,,,,,,,,,,,,,,,,,
,IFB-10010,,0,,,,,,,,,,,,,,,,,,,,,,,
,17-846567,,0,,,,,,,,,,,,,,,,,,,,,,,
,855PB-B12ME522,,0,,,,,,,,,,,,,,,,,,,,,,,
,am-3082_wire,,0,,,,,,,,,,,,,,,,,,,,,,,
,14-886867,,0,,,,,,,,,,,,,,,,,,,,,,,
,am-3162,,0,,,,,,,,,,,,,,,,,,,,,,,
,16-737785,Pigeon IMU,2,,,,,$59.99 ,,,,,,,,,,,,,,,,,,
,217-3489,"0.250"" ID x 0.500"" OD x 0.188"" WD (Radial Bearing)",4,,,,,$2.99 ,,,,,,,,,,,,,,,,,,
,217-4002,"Hex  1/2"" Thunderhex stock 18 inches",13,,,,,,,,,,,,,,,,,,,,,,,
,217-5875,"24T x 9mm Wide Double Flange Aluminum Pulley (GT2 3mm  1/2"" Hex Bore)",2,,,,,$14.99 ,$14.99 ,,https://www.vexrobotics.com/gt2pulleys.html,,,,,,,,,,,,,,,
,217-5885,70T X 9nn Wide Timing Belt GT2 3mm,6,,,,,$7.99 ,$7.99 ,,https://www.vexrobotics.com/gt2-timingbelts.html,,,,,,,,,,,,,,,
,217-6626,"1/32"" Gray Tinted Polycarbonate Sheet (36"" x 72"")",0,,,,,$49.99 ,,,,,,,,,,,,,,,,,,
,217-6627,"1/16"" Gray Tinted Polycarbonate Sheet (36"" x 72"")",0,,,,,$84.99 ,$4.72 ,,https://www.vexrobotics.com/polycarbonate.html,,,,,,,,,,,,,,,
,1691T143,"Impact-Resistant Compact Tie Rod Air Cylinder
Round Face  Double Acting  1-1/16"" Bore  3/8"" Stroke",0,,,,,$70.15 ,,,,,,,,,,,,,,,,,,
,3014T450,"Steel Eyebolt with Shoulder - for Lifting
1/4""-20 Thread Size  1"" Thread Length",0,,,,,$3.21 ,$3.21 ,,https://www.mcmaster.com/3014t45,,,,,,,,,,,,,,,
,3014T902,"Steel Eyebolt with Shoulder - for Lifting 1/4""-20 Thread Size  3"" Thread Length",0,,,,,$12.42 ,,,,,,,,,,,,,,,,,,
,3499T110_SS,"Hanging Pulley for Rope-for Horizontal Pulling Single-Groove  Swivel Eye  for 1/4"" Diameter Rope",6,,,,,$32.25 ,$32.25 ,,https://www.mcmaster.com/3499t11,,,,,,,,,,,,,,,
,5234K61,"Super-Soft Latex Rubber Tubing for Air and Water
1"" ID  1-1/4"" OD",0,,,,,$3.86 ,,,,,,,,,,,,,,,,,,
,57155K321,Stainless Steel Ball Bearing  Flanged  Shielded  Trade Number R3-2Z,0,,,,,$6.72 ,,,,,,,,,,,,,,,,,,
,5972K159,Ball Bearing  Shielded  Trade No. 6806-2Z  for 30 mm Shaft Diameter,5,,,,,$20.63 ,,,,,,,,,,,,,,,,,,
,60355K41,"Ball Bearing  Shielded  Trade Number R2-2Z  for 1/8"" Shaft Diameter",0,,,,,$6.56 ,,,,,,,,,,,,,,,,,,
,60645K321,"Ball Joint Rod End  1/4""-28 Thread  Right Hand",0,,,,,$3.36 ,,,,,,,,,,,,,,,,,,
,8585K205,"1-1/4"""" OD  1-1/8"""" ID  Clear  8' Long Impact-Resistant Polycarbonate Round Tube",0,,,,,$23.31 ,,,,,,,,,,,,,,,,,,
,90295A320,Nylon Washers,0,,,,,$7.32 ,,,,,,,,,,,,,,,,,,
,91251A077,"Black-Oxide Alloy Steel Socket Head Screw  2-56 Thread Size  1/4"" Long",0,,,,,$6.98 ,$0.07 ,,,,,,,,,,,,,,,,,
,912841A003,,0,,,,,,,,,,,,,,,,,,,,,,,
,93330A613,"Female Threaded Round Standoff
Aluminum  3/8"" OD  3/4"" Long  10-32 Thread Size",0,,,,,$0.72 ,,,,,,,,,,,,,,,,,,
,97345A251,"316 Stainless Steel Shoulder Screw 3/8"" Shoulder Diameter  2"" Shoulder Length  1/4""-20 Thread",0,,,,,$11.34 ,$11.34 ,,,,,,,,,,,,,,,,,
,98381A556,"Dowel Pin 4037 Alloy Steel  1/4"" Diameter  1-1/8"" Long",0,,,,,$10.53 ,,,,,,,,,,,,,,,,,,
,90631A411,Low-Strength Steel Nylon-Insert Locknut  Zinc-Plated  10-32 Thread Size,100,,,,,$3.35 ,,,,,,,,,,,,,,,,,,
,am-1250,"screws for hex hub for 6"" wheel",24,,,,,,,,,,,,,,,,,,,,,,,
,am-2469h,"half hub for 6"" wheel",8,,,,,,,,,,,,,,,,,,,,,,,
,am-4124,hex hub insert,4,,,,,,,,,,,,,,,,,,,,,,,
,91841A003,,0,,,,,,,,,,,,,,,,,,,,,,,
,PBN18200-1,"Brad nails to hold mecanum rollers on wheel
2 in. x 18-Gauge Brad Nail (1000 per Box)",0,,,,,$7.48 ,,,,,,,,,,,,,,,,,,
,WCP-0047,wheel tires,0,,,,,$14.99 ,,,,,,,,,,,,,,,,,,
,FDPT.625*.75*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 0.625"" ID x 24""  Gloss Finish",0,,,,,$29.44 ,,,,,,,,,,,,,,,,,,
,FDPT.875*1.0*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 0.875"" ID x 24""  Gloss Finish",0,,,,,$46.73 ,,,,,,,,,,,,,,,,,,
,FDPT1.125*1.25*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 1.125"" ID x 24""  Gloss Finish",0,,,,,$56.57 ,,,,,,,,,,,,,,,,,,
,FDPT1.375*1.5*24,"Carbon Fiber Roll Wrapped Twill Tube ~ 1.375"" ID x 24""  Gloss Finish",0,,,,,$64.13 ,,,,,,,,,,,,,,,,,,
,B076PG87CK,Piscifun Onyx Braided Fishing Line 6lb-150lb Superline Abrasion Resistant Braided Lines Super Strong High Performance PE Fishing Lines,0,,,,,$12.99 ,,,,,,,,,,,,,,,,,,
,COM-13185,Green LED,0,,,,,$7.95 ,,,,,,,,,,,,,,,,,,
,855PBB12ME522,Robot Signal Light,0,,,,,$143.08 ,,,,,,,,,,,,,,,,,,
,AM-0282,120a Circuit Breaker,0,,,,,$32.00 ,,,,,,,,,,,,,,,,,,
,AM-2005,Pneumatic Compressor,0,,,,,$75.00 ,,,,,,,,,,,,,,,,,,
,91223A322,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw  8-32 Thread Size  5/8"" Long
",8,,,,,$3.69 ,$3.69 ,,,,,,,,,,,,,,,,,
,31-LHS-8C-50,"Ultra-Low-Profile Socket Head Screw  8-32 Thread Size  1/2"" Long
",13,,,,,$3.69 ,$3.69 ,,,,,,,,,,,,,,,,,
,PRU14,NITRA pneumatic push-to-connect inline pressure regulator  technopolymer body  1/4in tube inlet(s)  1/4in tube outlet(s)  15-120 psi adjustable range.,0,,,,,$22.00 ,,,,,,,,,,,,,,,,,,
,PGU14,NITRA pneumatic push-to-connect inline pressure gauge  technopolymer body  1/4in tube inlet(s)  1/4in tube outlet(s)  0-170 psi range.,0,,,,,$19.00 ,,,,,,,,,,,,,,,,,,
,7361A12,"Electrical-Insulating Mounting Tape
Kapton® Polyimide Plastic  1/4"" x 15'  0.0056"" Thick",0,,,,,$12.03 ,,,,,,,,,,,,,,,,,,
,7483K39,"No-Snag Cable Ties
Wide  14-1/2"" Long  Black",0,,,,,$6.67 ,,,,,,,,,,,,,,,,,,
,97431A340,"Side-Mount External Retaining Rings for 1/2"" OD  Black-Phosphate 1060-1090 Spring Steel",0,,,,,$9.60 ,$0.10 ,,,,,,,,,,,,,,,,,
,92620A537,"Zinc Yellow-Chromate Plated Hex Head Screw  Grade 8 Steel  1/4""-20 Thread Size  1/2"" Long
",0,,,,,$12.14 ,$0.12 ,,,,,,,,,,,,,,,,,
,90630A115,"High-Strength Steel Nylon-Insert Locknut  Grade 8  5/16""-18 Thread Size",0,,,,,$2.94 ,$0.14 ,,,,,,,,,,,,,,,,,
,1679K484,"Dust-Free Timing Belt
T5 Series  Trade No. T5-400-10",0,,,,,,,,,,,,,,,,,,,,,,,
,91831A002,18-8 Stainless Steel Nylon-Insert Locknut  2-56 Thread Size,0,,,,,,,,,,,,,,,,,,,,,,,
,90298A630,"18-8 Stainless Steel Shoulder Screw  3/8"" Shoulder Diameter  1-3/4"" Shoulder Length  5/16""-18 Thread",0,,,,,,,,,,,,,,,,,,,,,,,
,2342K163,"Permanently Lubricated Ball Bearing  Open  Trade Number R4  for 1/4"" Shaft Diameter",0,,,,,,,,,,,,,,,,,,,,,,,
,2342K164,"Permanently Lubricated Ball Bearing  Open  Trade Number R4A  for 1/4"" Shaft Diameter",0,,,,,,,,,,,,,,,,,,,,,,,
,6435K12,"Clamping Shaft Collar for 1/4"" Diameter  Black-Oxide 1215 Carbon Steel",0,,,,,,,,,,,,,,,,,,,,,,,
,90044A118,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  1-1/2"" Long  Fully Threaded
",21,,,,,,,,,,,,,,,,,,,,,,,
,91831A411,"18-8 Stainless Steel Nylon-Insert Locknut  10-32 Thread Size
",100,,,,,,,,,,,,,,,,,,,,,,,
,92196A179,"18-8 Stainless Steel Socket Head Screw  8-32 Thread Size  1-3/4"" Long  Fully Threaded",21,,,,,,,,,,,,,,,,,,,,,,,
,90044A119,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  1-3/4"" Long  Fully Threaded",21,,,,,,,,,,,,,,,,,,,,,,,
,92949A837,"18-8 Stainless Steel Button Head Hex Drive Screw  1/4""-20 Thread Size  1-5/8"" Long",0,,,,,,,,,,,,,,,,,,,,,,,
,91831A009,18-8 Stainless Steel Nylon-Insert Locknut  8-32 Thread Size,94,,,,,,,,,,,,,,,,,,,,,,,
,91251A079,"Black-Oxide Alloy Steel Socket Head Screw  2-56 Thread Size  3/8"" Long",0,,,,,,,,,,,,,,,,,,,,,,,
,9271K677,"Torsion Spring  180 Degree Right-Hand Wound  0.556"" OD",0,,,,,,,,,,,,,,,,,,,,,,,
,9271K612,"Torsion Spring  180 Degree Left-Hand Wound  0.556"" OD",0,,,,,,,,,,,,,,,,,,,,,,,
,276-4858,VEX Bumper Switch,0,,,,,,,,,,,,,,,,,,,,,,,
,217-2952,SMC SS5Y3-41-04-N7T 4 Station Base Mount,0,,,,,,,,,,,,,,,,,,,,,,,
,217-3636,PTO add-on kit. Power take off. WCP,6,,,,,,,,,,,,,,,,,,,,,,,
,217-3635,Output shaft  standard WCP,3,,,,,,,,,,,,,,,,,,,,,,,
,217-2737,"Clamping Shaft Collar - 1/2"" Hex ID
",0,,,,,,,,,,,,,,,,,,,,,,,
,217-5881,45T x 9mm Wide Timing Belt (GT2 3mm),1,,,,,,,,,,,,,,,,,,,,,,,
,1128930,Screw  machine pan philip 8-32 x 3  ,29,,,,,,,,,,,,,,,,,,,,,,,
,2621,Hex Lock nut w/ nylon insert. Size 8-32. Nylock,56,,,,,,,,,,,,,,,,,,,,,,,
,1-THN-8C,Thin nylon insert nuts 8-32,90,,,,,,,,,,,,,,,,,,,,,,,
,ee0zzm3,bearing. koyo. jtekt,8,,,,,,,,,,,,,,,,,,,,,,,
,217-2592,"Versa hub. 1/2"" hex",18,,,,,,,,,,,,,,,,,,,,,,,
,217-2584,"Wheel  omni. 4""",1,,,,,,,,,,,,,,,,,,,,,,,
,217-4046,"Wheel  colson. 2.5"" x 1.25"" x .5"" hex bore",4,,,,,,,,,,,,,,,,,,,,,,,
,am-3480,"wheel  4"" compliant  1/2"" hex  blue  50 dur",1,,,,,,,,,,,,,,,,,,,,,,,
,AM-3155,"wheel  2""  1/2"" hex black stealth  50 dur",4,,,,,,,,,,,,,,,,,,,,,,,
,AM-3949,"wheel  2.25"" compliant  1/2"" hex   orange 40 dur",4,,,,,,,,,,,,,,,,,,,,,,,
,am-3951,"wheel  2""  1/2"" hex green omni",7,,,,,,,,,,,,,,,,,,,,,,,
,am-3953,"wheel  2""  1/2"" hex gray omni",3,,,,,,,,,,,,,,,,,,,,,,,
,217-6439,chain  #25h roller 10ft,11,,,,,,,,,,,,,,,,,,,,,,,
fix packs and units,CHN-0005,chain  #25h  half-link   5 pack,10,,,,,,,,,,,,,,,,,,,,,,,
fix packs and units,CHN-0005,chain  #25h  master-link   5 pack,1,,,,,,,,,,,,,,,,,,,,,,,
fix packs and units,217-6477,chain  #25h  master-link   5 pack,3,,,,,,,,,,,,,,,,,,,,,,,
,WCP-0200,"Friction Brake (3/8"" & 1/2"" Hex)",12,,,,,,,,,,,,,,,,,,,,,,,
,63-620,End Mill - 0250x0.375x0.250x2.000 - 1,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,63-614,End Mill - 0.187x0.375x0.250x2.000-1,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,63-604,End Mill - 0.125x0.250x0.125x1.500-1,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,63-625,End Mill - 0.375x0.750x0.375x3.000-1,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,X003MYLHKP,1/2inch Shank 2inch Cutting Diameter  slab flattening Router Bit Planing Bit Wood Milling Cutter Planer Woodworking Tool,1,,,,,,,,Similky,,,,,,,,,,,,,,,
,TC64708,1/8 SE 2FL RAD-0.010 ZRN,3,,,,,,,,Titan USA,,,,,,,,,,,,,,,
,TC62408,3/8 SE 2FL STUB - ALUM RAD-0.0020 ZRN,2,,,,,,,,Titan USA,,,,,,,,,,,,,,,
,TC62400,1/8 SE 2FL STUB -ALUM RD-0.010 ZRN,5,,,,,,,,Titan USA,,,,,,,,,,,,,,,
,TC64716,1/4 SE 2FL RAD-0.020 ZRN,1,,,,,,,,Titan USA,,,,,,,,,,,,,,,
,CRP-ARF-2-8ZN,"1/4in Ball End Mill 2 Flute DIA=1/4in FL=3/4 OAL=2-1/2"" SHK=1/4""",1,,,,,,,,cncrouterparts.com,,,,,,,,,,,,,,,
,CRP-AG-2-8ZN,"1/4in Square End Mill 2 Flue DIA=1/4"" FL=3/4"" OAL=2-1/2"" SHK = 1/4""",1,,,,,,,,cncrouterparts.com,,,,,,,,,,,,,,,
,TC62410,1/2 SE 2FL STUB - ALUM RAD-0.040ZRN,2,,,,,,,,Titan USA,,,,,,,,,,,,,,,
,49J744,Cylin 1-1/16in Bore 1in Stroke,4,,,,,,,,Grainger,,,,,,,,,,,,,,,
,217-3573,"54T Aluminum Spur Gear (20 DP  1/2"" Hex Bore)",0,,,,,,,,VexPro,,,,,,,,,,,,,,,
,1691T142,"Impact-Resistant Compact Tie Rod Air Cylinder  Round Face  Double Acting  1-1/16"" Bore  1/4"" Stroke",2,,,,,,,,,,,,,,,,,,,,,,,
,217-4347,775pro,2,,,,,,,,,,,,,,,,,,,,,,,
,217-6789,VersaPlanetary Coupler(Flacon Motor),8,,,,,,,,,,,,,,,,,,,,,,,
,214-6959, ,9,,,,,,,,,,,,,,,,,,,,,,,
,52-040,1/8 x 1/2 x 1/4 x 2 2Fl - LMT-ONSRUD,3,,,,,,,,,,,,,,,,,,,,,,,
,52-080,RT-52-000 0.250 x 0.750 x 0.250 x 2.500 -2,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,52-120,RT-52-000 0.375 x 0.875 x 0.375 x 2.500 -2,3,,,,,,,,LMT-ONSRUD,,,,,,,,,,,,,,,
,REV-11-1850,REV Power Distrobution Hub,2,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,REV-11-1863,REV 40A ATO Breaker,24,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,REV-11-1862,REV 30A ATO Breaker,16,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,REV-11-1861,REV 20A ATO Breaker,8,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,REV-11-1860,REV 10A ATO Breaker,4,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,REV-11-1852,REV Pneumatic Hub,2,,,,,,,,REV Robotics,,,,,,,,,,,,,,,
,am-2934,Reflective Tape Material 3M  2 in. wide x 20 ft.  adhesive backed,4,,,,,,,,AndyMark,,,,,,,,,,,,,,,
,am-2434,Ultrasonic proximity sensor  EZ  MB1013  MaxBotix,4,,,,,,,,AndyMark,,,,,,,,,,,,,,,
,33322S,"HiTech HS-322HD Standard Heavy Duty Servo
",8,,,,,,,AndyMark does not sell anymore,HiTecRCD,,,,,,,,,,,,,,,
